Month,Net Worth ($),Monthly Expenses ($)
Jan ‘22,11326,2366
Feb ‘22,12414,4199
Mar ‘22,13060,4698
Apr ‘22,15034,3040
May ‘22,16859,2763
Jun ‘22,17775,4990
Jul ‘22,18963,2312
Aug ‘22,20484,3512
Sep ‘22,21342,3928
Oct ‘22,22906,2232
Nov ‘22,24467,4888
Dec ‘22,25265,2694
Jan ‘23,25766,4186
Feb ‘23,27542,4979
Mar ‘23,29029,4595
Apr ‘23,30744,4476
May ‘23,32559,4428
Jun ‘23,33234,2179
Jul ‘23,34360,4624
Aug ‘23,35264,4659
Sep ‘23,36800,2389
Oct ‘23,37815,2690
Nov ‘23,38583,4298
Dec ‘23,39566,4034